latitude,longitude,mean_precipitation,uncertainty_std
-86.72253095466814,45.0,1.5498724e-06,8.2292263e-07
-86.72253095466814,46.875,1.5276808e-06,7.7572463e-07
-86.72253095466814,48.75,1.4899089e-06,7.2476035e-07
-86.72253095466814,50.625,1.4265937e-06,6.98509e-07
-86.72253095466814,52.5,1.374501e-06,6.9331685e-07
-86.72253095466814,54.375,1.3264007e-06,6.8204497e-07
-86.72253095466814,56.25,1.2797382e-06,6.69097e-07
-86.72253095466814,58.125,1.2302204e-06,6.53074e-07
-86.72253095466814,60.0,1.1750751e-06,6.2478586e-07
-86.72253095466814,61.875,1.1384687e-06,6.5115205e-07
-86.72253095466814,63.75,1.0542276e-06,6.2644966e-07
-86.72253095466814,65.625,9.769698e-07,5.9801647e-07
-86.72253095466814,67.5,9.61942e-07,6.0183896e-07
-86.72253095466814,69.375,9.551691e-07,6.3119967e-07
-86.72253095466814,71.25,9.4996767e-07,6.3141084e-07
-86.72253095466814,73.125,9.2903036e-07,6.1670113e-07
-86.72253095466814,75.0,9.0413045e-07,6.0882417e-07
-86.72253095466814,76.875,8.671674e-07,5.925836e-07
-86.72253095466814,78.75,8.5206005e-07,5.880996e-07
-86.72253095466814,80.625,8.330979e-07,5.689134e-07
-86.72253095466814,82.5,8.356612e-07,6.018061e-07
-86.72253095466814,84.375,8.1923895e-07,5.8046044e-07
-86.72253095466814,86.25,7.9023465e-07,5.40921e-07
-86.72253095466814,88.125,7.966478e-07,5.385991e-07
-86.72253095466814,90.0,8.0090774e-07,5.485512e-07
-86.72253095466814,91.875,7.6068653e-07,4.822876e-07
-86.72253095466814,93.75,7.785084e-07,5.043822e-07
-86.72253095466814,95.625,7.458603e-07,4.7795066e-07
-86.72253095466814,97.5,6.919485e-07,4.2912114e-07
-86.72253095466814,99.375,6.6118446e-07,3.9893965e-07
-86.72253095466814,101.25,6.2919554e-07,3.579903e-07
-86.72253095466814,103.125,6.381165e-07,3.9282978e-07
-86.72253095466814,105.0,6.013327e-07,3.5138117e-07
-86.72253095466814,106.875,5.920595e-07,3.4840357e-07
-86.72253095466814,108.75,5.8031844e-07,3.322344e-07
-86.72253095466814,110.625,5.466916e-07,2.989728e-07
-86.72253095466814,112.5,4.9828714e-07,2.610379e-07
-86.72253095466814,114.375,4.845565e-07,2.5523605e-07
-86.72253095466814,116.25,5.0550676e-07,2.7996276e-07
-86.72253095466814,118.125,5.073512e-07,2.7688927e-07
-86.72253095466814,120.0,4.9092455e-07,2.6352586e-07
-86.72253095466814,121.875,5.1603536e-07,2.8960633e-07
-86.72253095466814,123.75,5.2855233e-07,3.0479077e-07
-86.72253095466814,125.625,5.491212e-07,3.3279215e-07
-86.72253095466814,127.5,5.5056444e-07,3.240056e-07
-86.72253095466814,129.375,5.7323894e-07,3.3239314e-07
-86.72253095466814,131.25,6.080247e-07,3.394753e-07
-86.72253095466814,133.125,6.298786e-07,3.464566e-07
-86.72253095466814,135.0,6.73467e-07,3.6423347e-07
-86.72253095466814,136.875,7.250973e-07,3.931983e-07
-86.72253095466814,138.75,7.9540155e-07,4.969763e-07
-86.72253095466814,140.625,8.914228e-07,5.791257e-07
-86.72253095466814,142.5,9.60139e-07,5.8528724e-07
-86.72253095466814,144.375,9.95527e-07,5.937879e-07
-86.72253095466814,146.25,1.0928993e-06,7.026091e-07
-86.72253095466814,148.125,1.204684e-06,7.8348575e-07
-86.72253095466814,150.0,1.3088462e-06,7.9801765e-07
-86.72253095466814,151.875,1.4336093e-06,8.5234575e-07
-86.72253095466814,153.75,1.4975709e-06,9.540835e-07
-86.72253095466814,155.625,1.5946473e-06,1.0658238e-06
-86.72253095466814,157.5,1.7411761e-06,1.1758975e-06
-86.72253095466814,159.375,1.9068158e-06,1.2793465e-06
-86.72253095466814,161.25,1.964331e-06,1.287358e-06
-86.72253095466814,163.125,2.1529934e-06,1.3894659e-06
-86.72253095466814,165.0,2.2948434e-06,1.519023e-06
-86.72253095466814,166.875,2.3561242e-06,1.6301284e-06
-86.72253095466814,168.75,2.4698652e-06,1.6924414e-06
-86.72253095466814,170.625,2.5157008e-06,1.8748991e-06
