latitude,longitude,mean_air_pressure,uncertainty_std
-84.86197029204237,11.25,100046.38,382.05597
-84.86197029204237,13.125,100050.03,381.99594
-84.86197029204237,15.0,100053.84,382.03452
-84.86197029204237,16.875,100055.55,382.19055
-84.86197029204237,18.75,100055.34,382.49008
-84.86197029204237,20.625,100054.68,382.92636
-84.86197029204237,22.5,100052.2,383.5131
-84.86197029204237,24.375,100047.82,384.23743
-84.86197029204237,26.25,100042.47,385.107
-84.86197029204237,28.125,100036.88,386.09952
-84.86197029204237,30.0,100028.81,387.18774
-84.86197029204237,31.875,100019.52,388.36182
-84.86197029204237,33.75,100009.74,389.5781
-84.86197029204237,35.625,99998.25,390.8123
-84.86197029204237,37.5,99985.69,392.02634
-84.86197029204237,39.375,99971.89,393.17657
-84.86197029204237,41.25,99956.96,394.2328
-84.86197029204237,43.125,99941.22,395.1541
-84.86197029204237,45.0,99925.08,395.93173
-84.86197029204237,46.875,99907.66,396.516
-84.86197029204237,48.75,99891.74,396.89804
-84.86197029204237,50.625,99874.68,397.06177
-84.86197029204237,52.5,99858.66,397.00623
-84.86197029204237,54.375,99842.74,396.7319
-84.86197029204237,56.25,99829.21,396.2696
-84.86197029204237,58.125,99817.08,395.62408
-84.86197029204237,60.0,99805.8,394.83688
-84.86197029204237,61.875,99797.78,393.93146
-84.86197029204237,63.75,99791.77,392.97018
-84.86197029204237,65.625,99789.36,391.9913
-84.86197029204237,67.5,99789.6,391.03647
-84.86197029204237,69.375,99792.93,390.15408
-84.86197029204237,71.25,99799.88,389.3835
-84.86197029204237,73.125,99809.65,388.7699
-84.86197029204237,75.0,99822.86,388.3349
-84.86197029204237,76.875,99838.98,388.10226
-84.86197029204237,78.75,99858.98,388.0944
-84.86197029204237,80.625,99879.0,388.29556
-84.86197029204237,82.5,99902.16,388.72488
-84.86197029204237,84.375,99927.1,389.37006
-84.86197029204237,86.25,99952.03,390.20532
-84.86197029204237,88.125,99976.3,391.215
-84.86197029204237,90.0,100001.88,392.3847
-84.86197029204237,91.875,100024.52,393.6705
